LGA_NAME,geometry
boroondara,"POLYGON ((145.10207478836568 -37.81532772695822, 145.0921544999019 -37.87179662262482, 145.07303062078185 -37.8758667803335, 144.99927739217586 -37.79723871978294, 145.01960677795125 -37.80364436121603, 145.0133804309971 -37.7855908906771, 145.09532122446532 -37.77942820927004, 145.10207478836568 -37.81532772695822))"
brimbank,"POLYGON ((144.86944612880353 -37.72217189245865, 144.84613114712852 -37.74737481103163, 144.8542728608774 -37.764456796690304, 144.83916342500282 -37.79691015786598, 144.85585795916577 -37.81487667611046, 144.75088242989 -37.81040558497641, 144.76815456968947 -37.70961588751771, 144.75176593695565 -37.7056090703864, 144.75834028144612 -37.681019891677416, 144.7441820968253 -37.66293936260976, 144.77222281586182 -37.664029293509394, 144.77657162174535 -37.67678927688253, 144.80468560166747 -37.66947718773866, 144.8204857193381 -37.68437892890136, 144.80968127675752 -37.69789244425342, 144.82861343253072 -37.70674872459118, 144.88579764659272 -37.70714344647712, 144.86944612880353 -37.72217189245865))"
buloke,"POLYGON ((143.56702909493197 -36.221922196023556, 143.50811576155795 -36.26490171962061, 143.51409507771314 -36.2949652391847, 143.482092419993 -36.295054917192985, 143.47862723086243 -36.37615808249345, 143.43884512418947 -36.36844418197414, 143.44506384878053 -36.446149211853225, 143.4305951709646 -36.469535849104254, 143.41211157921188 -36.467730367947844, 143.406633198046 -36.5001591698142, 143.31519998247566 -36.476930432025966, 143.2856208540086 -36.40667459976329, 143.1473939666959 -36.40973532133761, 143.13312509537818 -36.44940198072144, 143.04489668065142 -36.44316367533797, 143.0573822062567 -36.468160086250315, 143.01984322116948 -36.48272425407637, 142.82298158587466 -36.46248755216098, 142.81678030918556 -36.43749699163453, 142.79862015220908 -36.43754376055603, 142.79854933490262 -36.40803970036551, 142.73182475627186 -36.40522427639582, 142.74295852551884 -36.393049406977056, 142.73156134595263 -36.298500165705505, 142.7192438872126 -36.30719829503311, 142.74307501708626 -36.26475582617231, 142.72210160076745 -36.262467744918595, 142.7221113128395 -36.23942531477315, 142.74784235633004 -36.153340615747354, 142.7278542901272 -36.1477790445307, 142.73202257342828 -36.103340174494456, 142.68089982248253 -36.09624121143469, 142.631602348 -36.12544162872348, 142.60424691295708 -36.12042813708857, 142.60100911746372 -35.73642207444947, 142.7215430279205 -35.73602257152978, 142.72247372084016 -35.47527124990735, 142.5434860695753 -35.475864699416825, 142.53578039885312 -35.302670189850076, 142.61763425251894 -35.30557747264828, 142.6112531952348 -35.19410106855244, 142.7482607410011 -35.199137059642744, 142.79377945950222 -35.24752886265119, 142.81798916711926 -35.230830163979334, 142.85638260098233 -35.231126846264374, 143.00329926597982 -35.249363435175944, 143.01039528370424 -35.373788996410475, 142.99719346581546 -35.373788265616206, 142.9971776652999 -35.49094157637347, 143.13130800377238 -35.490812244476835, 143.12352501286674 -35.51456568415819, 143.1367726079656 -35.54507614515949, 143.19793883756398 -35.55125243892139, 143.18731105413278 -35.6075563786373, 143.20026677774317 -35.65455974973042, 143.32370752761486 -35.656729377304806, 143.3179744673516 -35.66960438703538, 143.34373994175323 -35.685148068721105, 143.33643346070448 -35.70924460842665, 143.37229694076282 -35.753875120924704, 143.35040555970292 -35.79273690782505, 143.35839137502214 -35.83992305062083, 143.3847671504371 -35.84313171226911, 143.36544812969564 -35.99202611203236, 143.3773043177532 -35.9920748227644, 143.37871193547207 -36.01400608299181, 143.40597187061275 -36.018278104703946, 143.43273219953997 -35.98306829613515, 143.48175674153302 -35.983069491178135, 143.48171484639317 -36.10131942093301, 143.5115670564934 -36.10135257379119, 143.5135478183584 -36.173264312374336, 143.53663663048303 -36.17408834881943, 143.53163087254612 -36.20315957369273, 143.56702909493197 -36.221922196023556))"
campaspe,"POLYGON ((145.06656997437238 -36.16962259409308, 145.09107493162102 -36.15773194570108, 145.13187205260175 -36.18033585865757, 145.13199452665205 -36.28434244533708, 145.1503131676539 -36.28433437160129, 145.1502371194739 -36.343071294974344, 145.03206443186863 -36.343076522842615, 145.03197507951697 -36.49896690083718, 145.149767001068 -36.49897547194345, 145.15483142780036 -36.55961712568183, 145.15001189167089 -36.5871870945254, 145.1317514696804 -36.58732514126582, 145.13172133833703 -36.67534560082631, 145.087358137699 -36.675450988770265, 145.04347330761587 -36.6506595755962, 145.04261255444206 -36.68202630573732, 145.0204988681279 -36.681950564220216, 145.01707153008763 -36.6687916439014, 144.9867293218721 -36.69971077202133, 144.9321560709633 -36.69966306829432, 144.9319441859229 -36.747907918587124, 144.66615637777397 -36.762597911704695, 144.66711172246852 -36.72538946053236, 144.51803966835868 -36.72543442557714, 144.53476714840113 -36.68805298145221, 144.52542765285273 -36.65982096065139, 144.58972552881986 -36.594821804522034, 144.5984100594631 -36.57450875497252, 144.58722525302554 -36.55788620411961, 144.60986038939322 -36.55668285562397, 144.60817629247728 -36.52936187533704, 144.62588866774925 -36.527341791508654, 144.61179832514836 -36.49747651537552, 144.67074196942946 -36.45823324907221, 144.6587249752398 -36.44047010815259, 144.6739753424862 -36.423298159065546, 144.6681837651586 -36.40657941856992, 144.430217451952 -36.41129305375368, 144.41570838786262 -36.39631102169925, 144.36974013128938 -36.407848593741534, 144.3584912844222 -36.38525816685659, 144.3301022231103 -36.38524080598999, 144.33183994860062 -36.32770499573602, 144.28173495685476 -36.32771006244965, 144.26679102958806 -36.224783290811985, 144.2894249954017 -36.12918076167969, 144.31884768337625 -36.10124134342919, 144.30411747976027 -36.06126201220549, 144.3178482386593 -36.049826383032496, 144.27994711846503 -36.01327039031266, 144.29140860946205 -35.98441427087713, 144.26005640806503 -35.94899405859664, 144.26252518933237 -35.93212232864911, 144.3355735872734 -35.934183443450046, 144.35341637583613 -35.91951970452803, 144.343568079936 -35.89431332371756, 144.3819024747169 -35.88435673617559, 144.42452139623805 -35.90018628908947, 144.41656623653762 -35.91010088862826, 144.48790291100624 -35.94974279360507, 144.49359821818678 -35.96862851410494, 144.50152925795814 -35.95808586456308, 144.50096844679123 -35.97061087460682, 144.52048965367112 -35.97012597590015, 144.51569765192627 -35.99521044574388, 144.56304536299115 -36.007528438973615, 144.58337702650402 -36.03901451053255, 144.61565239200945 -36.03155501263976, 144.61771935705332 -36.07711947307212, 144.632620317566 -36.04815753388185, 144.65297302376095 -36.05301700527605, 144.6546855012125 -36.075346445534954, 144.6888316270854 -36.06127744773463, 144.68430814432423 -36.095607707652555, 144.7190875096519 -36.08586886992698, 144.7183893669266 -36.113663380059414, 144.77196209794144 -36.11612304368518, 144.77747958563077 -36.12988215414644, 144.7986912938854 -36.113196125471795, 144.8086581712285 -36.123246636210666, 144.81032609311305 -36.102259856187985, 144.84838314618995 -36.109300478811015, 144.85242180750194 -36.0901717489613, 144.89320249052835 -36.093433171751634, 144.90424307033132 -36.07794076240239, 144.93905235094962 -36.11388758500548, 144.95973275832165 -36.10675602637024, 144.98171070263717 -36.12705154800268, 144.9895192826562 -36.114626508456276, 144.99578742159224 -36.115045768887704, 145.0140269638837 -36.16057790043041, 145.0283597528405 -36.14816520133227, 145.06656997437238 -36.16962259409308))"
cardinia,"POLYGON ((145.75494600874327 -38.1265219647567, 145.7009351840972 -38.205925356385585, 145.71650748870474 -38.21167822653314, 145.71253177680205 -38.25174799449606, 145.73636147293468 -38.24896264118226, 145.7326864419344 -38.28934080916803, 145.6124578085314 -38.285560341576016, 145.60569501136345 -38.33241911538378, 145.55367133297284 -38.2935558194569, 145.54180991826198 -38.30936392771472, 145.52067248829877 -38.30663998720369, 145.48853662827833 -38.233371486484955, 145.3888657364141 -38.192503453225314, 145.39948191912234 -38.14298481766476, 145.38339049089439 -38.125624972429456, 145.4006299478589 -38.10795757852928, 145.36409178457671 -38.051563933620635, 145.38535266813687 -38.01339400287389, 145.38407977573056 -37.92959264126585, 145.5074914936231 -37.89975277676024, 145.5268631208846 -37.885306697038565, 145.51916832632102 -37.85771686732358, 145.56842802227692 -37.8976775400559, 145.60419917803875 -37.8979384055938, 145.62490663215794 -37.918143876189895, 145.66900309547754 -37.90954189027399, 145.68696761061088 -37.88091383737651, 145.7651406030443 -37.89860764607381, 145.73107263709036 -37.95882040200983, 145.76270919685254 -37.99153325247677, 145.75444830925827 -38.07918530442829, 145.73927116948948 -38.10030270347277, 145.76295366236732 -38.10888306722112, 145.75494600874327 -38.1265219647567))"
casey,"POLYGON ((145.41945139190082 -38.220339799542856, 145.34726165337133 -38.21345343544094, 145.34162084456526 -38.22945939614493, 145.31962089690094 -38.24314524469188, 145.30605918545004 -38.223876829626846, 145.31160989893158 -38.21978970898907, 145.31078782956513 -38.21542964690488, 145.3175909331145 -38.217692726393686, 145.3226676693588 -38.216467571740644, 145.33370197827685 -38.20881532146445, 145.33517035249366 -38.204583667541044, 145.258474169678 -38.22519369031953, 145.21483415824798 -38.20827127618312, 145.2519991195026 -38.00363867750368, 145.2274590441111 -38.00072026678034, 145.23325134662227 -37.941877272818665, 145.37940469042627 -37.97539227022196, 145.38535266813687 -38.01339400287389, 145.36409178457671 -38.051563933620635, 145.4006299478589 -38.10795757852928, 145.38339049089439 -38.125624972429456, 145.39948191912234 -38.14298481766476, 145.3888657364141 -38.192503453225314, 145.41832147256568 -38.19847816832895, 145.43066388158616 -38.21452232029481, 145.41945139190082 -38.220339799542856))"
central goldfields,"POLYGON ((143.5604203106968 -37.107497401203055, 143.56253169753612 -37.03360411087305, 143.6036652648093 -36.989919223176024, 143.57586631433907 -36.981537614381445, 143.5935299198143 -36.956167052328894, 143.58193349485165 -36.945128957533065, 143.46677225374947 -36.9306725442571, 143.5109705932316 -36.858595456555804, 143.5069439288103 -36.80779877598546, 143.4634749911597 -36.75547812295133, 143.4956550657444 -36.755510544953125, 143.49558846716508 -36.740850894856635, 143.56852744181728 -36.74179102241511, 143.57379023516808 -36.729007489663836, 143.6284294773348 -36.735803139132614, 143.6320909161493 -36.72106216326962, 143.6696343795941 -36.72368424564785, 143.67911033703245 -36.81581875682577, 143.758857012948 -36.84293319203585, 143.7568601518507 -36.86774286506552, 143.85854817192393 -36.885767508642246, 143.86719311838354 -36.90681851932618, 143.8468005396885 -36.928446498161904, 143.85996360537962 -36.949510099133484, 143.8305045412773 -36.98070436245239, 143.88419539761813 -36.98644466091226, 143.88229945674124 -36.99851217086695, 143.89947526363397 -37.000505401977136, 143.89571873198668 -37.02347761188118, 143.97509626792439 -37.02956212700691, 144.0168489069222 -37.06871035993913, 143.9646123325828 -37.10075441678004, 143.94906930550536 -37.19782852639001, 143.87500877928406 -37.18638890157833, 143.8583525572485 -37.23530372082087, 143.75903510443425 -37.233232244493315, 143.72704007184248 -37.213650132345585, 143.71367489247808 -37.23033592160478, 143.63640580564797 -37.230820376737604, 143.6406456371371 -37.2082980168638, 143.58229036775828 -37.201720243160096, 143.58541799890557 -37.184539863248915, 143.55095934519068 -37.1804684110669, 143.55188628714927 -37.158782400989594, 143.58295036447245 -37.13192399276595, 143.5604203106968 -37.107497401203055))"
colac otway,"POLYGON ((143.250202950297 -38.68755799065023, 143.2794163383365 -38.65428324324481, 143.2652781514615 -38.62854951022208, 143.29242071390522 -38.61508283880948, 143.26637725978213 -38.573201607957586, 143.33484459455264 -38.552117720044826, 143.3623047247248 -38.52101219355326, 143.344625443058 -38.499468006331746, 143.36450174083376 -38.49599959753853, 143.35181262113232 -38.47580172963299, 143.3209821228482 -38.45392844059935, 143.26379348081585 -38.44681423703902, 143.28597795927743 -38.33152752770639, 143.34065367106774 -38.325944386039964, 143.42198476127535 -38.348693618209325, 143.43092490165932 -38.308900804523375, 143.48358048952366 -38.26647818354052, 143.47613341125043 -38.25248647899195, 143.4369381994104 -38.25062874054373, 143.448536353767 -38.24642180323868, 143.43672817403686 -38.234710834434175, 143.4230421431479 -38.23794970960441, 143.4277631312439 -38.248616769961984, 143.41474413921702 -38.25206275517533, 143.40977322320282 -38.20084975055657, 143.43792123558214 -38.18701570221881, 143.4550529515004 -38.197441769346526, 143.4704236133773 -38.1813627932049, 143.46916411559891 -38.12125270176108, 143.51080100235404 -38.12998752940849, 143.55276614877783 -38.10151291685708, 143.59480692167216 -38.10819433653171, 143.63412612260183 -38.089500425887785, 143.61188508944392 -38.05057572225244, 143.62892143417014 -38.02339154115706, 143.82957126092887 -38.02232181484942, 143.81855308398463 -38.08012177350103, 143.82847533500222 -38.09219788020661, 143.80966368369585 -38.127791510226196, 143.85737374867867 -38.133495148301236, 143.8338477037167 -38.29097053375937, 143.87878640924575 -38.276191795537756, 143.8349441359188 -38.51056072315913, 143.85615418260718 -38.52514868460021, 143.82454383899918 -38.566574406834334, 143.94611043382457 -38.5794063536867, 143.90816004781223 -38.62585278453291, 143.83726402164808 -38.69265698540397, 143.6812801191917 -38.7376487387778, 143.66601806366262 -38.779366762064804, 143.61603793306853 -38.7954958510146, 143.5540700771553 -38.85568075148697, 143.51092508481108 -38.857566748801, 143.427806016442 -38.7835833691847, 143.3598960976445 -38.75508599580804, 143.25875474676914 -38.7473531305325, 143.250202950297 -38.68755799065023))"
corangamite,"POLYGON ((143.46759739488115 -38.28133762563556, 143.429980054694 -38.31023950747284, 143.42198476127535 -38.348693618209325, 143.3237532062351 -38.32443477998868, 143.27590640653142 -38.34712887118169, 143.26379348081585 -38.44681423703902, 143.3209821228482 -38.45392844059935, 143.36450174083376 -38.49599959753853, 143.34442475721806 -38.4982272233119, 143.3623047247248 -38.52101219355326, 143.3486756148352 -38.54439930585202, 143.26637725978213 -38.573201607957586, 143.29242071390522 -38.61508283880948, 143.2652781514615 -38.62854951022208, 143.2794163383365 -38.65428324324481, 143.24712014277983 -38.68831156646565, 143.25245355945117 -38.741967150113624, 143.28712113560246 -38.75752873433611, 143.259702139034 -38.772951732743515, 143.21532814854817 -38.75838072993664, 143.12298504940205 -38.67678061781523, 143.03667192646398 -38.63173534931197, 142.99196266476508 -38.619337168538884, 142.93703121191933 -38.627322712281945, 142.8804242240082 -38.60832070877592, 142.8694818349998 -38.56695963687429, 142.83291973035617 -38.538473229521415, 142.85808669153528 -38.500032709792656, 142.89939993137526 -38.48682129318393, 142.84736412833348 -38.48070797503673, 142.88042833617817 -38.306748179965844, 142.81479273692605 -38.30665179804934, 142.84446750915438 -38.19681062015479, 142.89070606516833 -38.19421978690138, 142.8961248650319 -38.12309679079527, 143.0193831959026 -38.13598984928229, 142.992198254154 -38.07978540730201, 143.0261722902206 -38.05818974622017, 143.01342832165534 -38.045976558376736, 143.05049349905593 -38.00501750436687, 143.03657254376108 -37.99210852144672, 143.0518549248408 -37.9633307951955, 143.08314683986816 -37.94733617899294, 143.07414714723103 -37.92894189233544, 143.0977820641862 -37.907035126634796, 143.0723282028084 -37.89519117801941, 143.10140886489046 -37.88279719270696, 143.07929606059352 -37.86397654325103, 143.1073233216541 -37.843422563825484, 143.0952095321805 -37.8185378469382, 143.10816069374457 -37.77876065748082, 143.16559263199997 -37.76519952489149, 143.1844099750489 -37.73067602182753, 143.24194020744827 -37.74662157344306, 143.26735153027886 -37.73354892692102, 143.27189435054774 -37.75345137032195, 143.30419537958903 -37.75665222032667, 143.35478981119564 -37.67026497191396, 143.46475005316282 -37.658915868656656, 143.4405705369973 -37.784667005927226, 143.4525040907615 -37.87728996523617, 143.44278100666273 -37.90565630680576, 143.47712334477634 -37.9243528210553, 143.47941680273746 -37.94083675229886, 143.6107865079023 -37.95821100961915, 143.65630869792642 -38.00765675078446, 143.61197219697584 -38.03516727716386, 143.63412612260183 -38.089500425887785, 143.59480692167216 -38.10819433653171, 143.55276614877783 -38.10151291685708, 143.51080100235404 -38.12998752940849, 143.46916411559891 -38.12125270176108, 143.4704236133773 -38.1813627932049, 143.4550529515004 -38.197441769346526, 143.43792123558214 -38.18701570221881, 143.40977322320282 -38.20084975055657, 143.42096639681046 -38.224976858396964, 143.4090881217315 -38.24696760079382, 143.43672817403686 -38.234710834434175, 143.4445292026608 -38.254620790039404, 143.47772338989296 -38.25323138409546, 143.48274418431382 -38.270057746510126, 143.46759739488115 -38.28133762563556))"
darebin,"POLYGON ((144.98367082051297 -37.76382958750712, 144.97131547852243 -37.691239357210904, 145.07495050370486 -37.70877560942845, 145.03204851798247 -37.73763093365976, 145.03493729588075 -37.779887592120474, 144.99730324779395 -37.78550979857496, 144.98367082051297 -37.76382958750712))"
east gippsland,"POLYGON ((148.67052487160154 -37.802097098711144, 148.36692196289866 -37.803965413591584, 148.192493159373 -37.82859019947596, 147.88294094073967 -37.917943295013444, 147.70577613089742 -37.99833892136883, 147.69940234416023 -37.981264490755, 147.72272777165307 -37.969445992535945, 147.71194188542896 -37.95428753158267, 147.6609876813832 -37.97636279767384, 147.57056962717533 -38.0536590010018, 147.450710984911 -38.07709948171246, 147.4692135945854 -38.05426133302248, 147.46359372073533 -38.0129979823228, 147.4090409413363 -38.00341447798458, 147.4088555941218 -37.98139243783212, 147.3814409290112 -37.980039855678285, 147.36160111018322 -37.91778864373734, 147.2742510649062 -37.920124386943776, 147.28657139814968 -37.87685917763071, 147.26468225381672 -37.86141829583146, 147.28132289169486 -37.7745926865795, 147.23344263052633 -37.76936769282671, 147.26206798774484 -37.75222889494165, 147.21165747119235 -37.74545362398674, 147.1981008821515 -37.723933299800855, 147.2220668992437 -37.632825371083506, 147.18904000701926 -37.615207928413426, 147.20815808801797 -37.580486019674645, 147.26129633959235 -37.57562026376703, 147.28526129788457 -37.55640284550868, 147.32947246974126 -37.56166076898542, 147.35022099922259 -37.53730287044992, 147.40213770001176 -37.5406901045294, 147.38952155176855 -37.46262275304718, 147.40581622995884 -37.454977044273654, 147.4177445853536 -37.39481973482541, 147.43781648156767 -37.39811459641935, 147.4603510127987 -37.27607634740982, 147.4284392192511 -37.26708680484959, 147.4255139255017 -37.22009777432038, 147.36879305765785 -37.198271539743246, 147.31640281668632 -37.11385058511612, 147.35921839948998 -37.11432857845855, 147.38052089784364 -37.09869885002267, 147.38903540462616 -37.0313509102566, 147.34999007050072 -37.036402667238804, 147.26330050850405 -37.006691670298146, 147.29035955637215 -36.90434056174419, 147.3454368018042 -36.86676640579315, 147.33672603769665 -36.82987641487601, 147.28523716660067 -36.82646652084431, 147.29393581715473 -36.80994149141445, 147.2684091750592 -36.77917544923122, 147.29067626308571 -36.76508691087148, 147.2904517964032 -36.73777828067768, 147.36821613407702 -36.73399964671473, 147.4337280154561 -36.79891539225946, 147.4731846173149 -36.812468915442366, 147.47045520124723 -36.78378101504282, 147.5296891531642 -36.77014756961282, 147.53927013545734 -36.7383646601621, 147.96021403208044 -36.61242402287095, 148.13446727728052 -36.74370224781099, 148.09798015779637 -36.78724222513325, 148.1190757720165 -36.80576567696399, 148.15691654779306 -36.790018339935166, 148.18231266177497 -36.804787622096626, 148.1949828407671 -36.79630567307325, 149.97629597281303 -37.5050190891049, 149.90696958910013 -37.542614323213726, 149.77445022204208 -37.5579872246431, 149.73713639121402 -37.58726245855745, 149.6774241776794 -37.68498347395566, 149.61803748557202 -37.699944488867196, 149.59581705563085 -37.72654311710078, 149.52565479594548 -37.73726861106883, 149.48490463753822 -37.77554274777845, 149.34401922116083 -37.77643243561683, 149.2756127989681 -37.80381303991164, 149.25180292598404 -37.781812177729876, 149.21264238318196 -37.77748387434885, 148.82216012813805 -37.78531472129516, 148.75082154873434 -37.79648355538416, 148.72881170000065 -37.81503093366023, 148.67052487160154 -37.802097098711144))"
falls creek alpine resor,"POLYGON ((147.2417296589075 -36.8670179977257, 147.25838152983653 -36.836407768821246, 147.29244231363018 -36.874464618713965, 147.24487571241443 -36.88342772307545, 147.2417296589075 -36.8670179977257))"
frankston,"POLYGON ((145.22437373656356 -38.15448485751449, 145.2157726889335 -38.20063899320134, 145.15929218597103 -38.18172920917184, 145.12875615830865 -38.20006627717432, 145.09803709086796 -38.16252873982456, 145.12024342075998 -38.13726885220057, 145.1239527941777 -38.08237547811852, 145.1488787946925 -38.083438671846736, 145.15623999717326 -38.067439633257045, 145.23941139947826 -38.077644138085574, 145.22437373656356 -38.15448485751449))"
french-elizabeth-sandstone islands,"POLYGON ((145.37148006813212 -38.41711047938548, 145.3660753591729 -38.41637561900246, 145.36884850926 -38.411262519165376, 145.36943338877094 -38.41466937922719, 145.37148006813212 -38.41711047938548))"
french-elizabeth-sandstone islands,"POLYGON ((145.21272101608815 -38.329474237780246, 145.21043343631973 -38.33101935763098, 145.2087307163972 -38.33301849752508, 145.20941087696346 -38.326879277534665, 145.21272101608815 -38.329474237780246))"
french-elizabeth-sandstone islands,"POLYGON ((145.26865660800362 -38.402464172115124, 145.2935695370576 -38.282653403116775, 145.36805402043373 -38.31359659851128, 145.45341563617248 -38.306520814460406, 145.50346131206183 -38.352982118272756, 145.41087553641378 -38.37069400186388, 145.38594925674647 -38.40670791033574, 145.35255732115453 -38.420035378078644, 145.28885180515346 -38.39599546348247, 145.26865660800362 -38.402464172115124))"
gabo island,"POLYGON ((149.91735929420835 -37.565297954276986, 149.90642512571617 -37.567549673325495, 149.9048233786555 -37.54837118306109, 149.91407559612043 -37.55550680392409, 149.91735929420835 -37.565297954276986))"
gannawarra,"POLYGON ((144.36209588702764 -35.79261925427731, 144.37719017440287 -35.79452662528327, 144.36565631342256 -35.82317554470966, 144.38441298071854 -35.8198952459235, 144.37218572147526 -35.832166535197715, 144.38160278990856 -35.83261962582081, 144.3864778188231 -35.83561540616142, 144.38636888867887 -35.8372435661648, 144.3733836305706 -35.83932735532297, 144.3896448259716 -35.859146566522554, 144.41120008253193 -35.858678487941184, 144.40361376156056 -35.88075527758357, 144.41832752793815 -35.893199498635184, 144.343568079936 -35.89431332371756, 144.35341637583613 -35.91951970452803, 144.3355735872734 -35.934183443450046, 144.24929882168422 -35.930047317771184, 144.18729313396224 -35.9075561235827, 144.18500285048503 -35.94668353368627, 143.9225714225609 -35.95279625679073, 143.91847323471777 -35.93739673642934, 143.8617160541936 -35.934873072788825, 143.87399697400974 -35.9160608934507, 143.72839568866107 -35.905852024141105, 143.7281615991545 -35.9324978992978, 143.61772238591854 -35.93479881135943, 143.61789656161844 -35.96927744859191, 143.43273219953997 -35.98306829613515, 143.4071837904553 -36.017842864776135, 143.37871193547207 -36.01400608299181, 143.36521022518235 -35.933659481643446, 143.3847671504371 -35.84313171226911, 143.35839137502214 -35.83992305062083, 143.35033509663057 -35.79363991182654, 143.37229694076282 -35.753875120924704, 143.33643346070448 -35.70924460842665, 143.34373994175323 -35.685148068721105, 143.3179744673516 -35.66960438703538, 143.32370752761486 -35.656729377304806, 143.28826980421312 -35.64719543506637, 143.28816499087912 -35.57492651459305, 143.64149414427698 -35.572751206514326, 143.63873937878714 -35.52949217606073, 143.72887992433115 -35.52954845173858, 143.70896223085796 -35.494215280251666, 143.80565434482455 -35.50010995640931, 143.8084419165425 -35.477313106438025, 143.7911552303359 -35.46645211527034, 143.82214832733123 -35.44592510710445, 143.9057590788317 -35.499874942783734, 143.97010398852433 -35.500058816905074, 143.97466320467677 -35.53253741740901, 143.99658567086735 -35.535657718837406, 143.98986344012266 -35.55458803852854, 144.0457083514271 -35.55199971210612, 144.06234614637125 -35.57673589334037, 144.1054308980723 -35.59110711621872, 144.1174610627508 -35.62603612722475, 144.1524827355251 -35.64250014960292, 144.16209551117294 -35.671294030414224, 144.22114746954804 -35.693057084399015, 144.21580362909657 -35.70643975413748, 144.24810769246395 -35.7210381563402, 144.26156667751079 -35.74936809740354, 144.29637182310742 -35.73713558960213, 144.29504574163212 -35.75426763962641, 144.3284109763893 -35.75290667180583, 144.31861399661963 -35.7665598212514, 144.34878002171706 -35.76695538323513, 144.36209588702764 -35.79261925427731))"
glen eira,"POLYGON ((145.02353956913777 -37.91480335717435, 145.02599364509294 -37.90215209426445, 144.99675088222165 -37.88348786114432, 145.01052737236282 -37.86021220594416, 145.07818840964987 -37.88713860475825, 145.07421330004112 -37.90813178961464, 145.08531231795806 -37.90950169538709, 145.07953927175618 -37.93873916317053, 145.03439860325352 -37.93301404903217, 145.02353956913777 -37.91480335717435))"
glenelg,"POLYGON ((141.62951649248754 -38.295890301341906, 141.59877903382323 -38.320861791814245, 141.6502208661805 -38.39323310705358, 141.6290307950222 -38.393028011894216, 141.62664108227617 -38.406380405843166, 141.57304895241302 -38.38975367082398, 141.54285602107478 -38.43297355244092, 141.52506936630246 -38.4214170704079, 141.51930236308155 -38.39012697890954, 141.4617792558731 -38.36247329563684, 141.40754568011388 -38.368744505756275, 141.4131572587102 -38.396324024221485, 141.3741496065944 -38.38664433207192, 141.36536402001306 -38.36543172147559, 141.39780364350312 -38.33833429505263, 141.39171710326963 -38.31901760061126, 141.28994323242412 -38.21600473456238, 141.1503121510226 -38.126899418644626, 140.96574458797485 -38.05590411858301, 140.9732897839257 -37.358312324772065, 141.09726474981608 -37.449868349785625, 141.16824400490788 -37.41986688532943, 141.26384559839073 -37.43007671744324, 141.2805180374535 -37.39450018111163, 141.2208874803222 -37.364560737769885, 141.22101047161718 -37.34869189767972, 141.49929697759708 -37.38016038374287, 141.48666947565962 -37.45245553750181, 141.53740130635893 -37.45782319327787, 141.52556284628986 -37.49458233686056, 141.5459136108073 -37.54056918824289, 141.51424596062063 -37.56077869765071, 141.54542064568952 -37.589698130514684, 141.5244323663387 -37.60171868545054, 141.57394505874038 -37.61244276720114, 141.58745637661735 -37.64447096613012, 141.64465841951824 -37.64517498325298, 141.6668385998725 -37.67697589765885, 141.6873079919717 -37.68049381180139, 141.69182166333107 -37.7017713141779, 141.7237565834537 -37.71627854301919, 141.7322275153163 -37.89534065356811, 141.83131170500462 -37.89276456602407, 141.8285193976555 -37.86831427472159, 141.91901187806934 -37.8862292698615, 141.9150471624934 -37.911864261795266, 141.86626973362945 -37.92879270618182, 141.87191409536365 -37.94307447558175, 141.81708163206565 -37.943284186540694, 141.83458415403774 -37.987651730777934, 141.81978332909492 -38.03931416826882, 141.86940796870402 -38.11306659046596, 141.8508687005661 -38.174235279803106, 141.85096061925918 -38.21114723102948, 141.86959488296216 -38.21070607606221, 141.86962028816862 -38.26428384838443, 141.73564037414457 -38.25374203590876, 141.62951649248754 -38.295890301341906))"
