ACCIDENT_NO,SEVERITY,LGA_NAME,LATITUDE,LONGITUDE
T20120000012,severe,monash,-37.903541,145.161404
T20120000013,severe,kingston,-37.93594,145.098848
T20120000032,severe,port phillip,-37.841733,144.953222
T20120000043,severe,casey,-38.12147,145.28836
T20120000053,severe,kingston,-37.979908,145.142676
T20120000054,severe,kingston,-37.97228,145.111686
T20120000059,severe,casey,-38.139211,145.303999
T20120000063,severe,boroondara,-37.791532,145.094621
T20120000086,severe,port phillip,-37.831658,144.964764
T20130002969,severe,port phillip,-37.842991,144.937879
T20120000602,severe,moreland,-37.765766,144.972732
T20120000097,severe,port phillip,-37.83228,144.9718
T20120000098,severe,cardinia,-37.953778,145.564162
T20120000141,severe,casey,-38.033727,145.335622
T20120000090,severe,casey,-37.959479,145.27365
T20120000900,severe,whitehorse,-37.817673,145.156255
T20120003216,severe,maribyrnong,-37.780169,144.855917
T20120000091,severe,hume,-37.569027,144.724256
T20120007866,severe,kingston,-38.047814,145.113801
T20120000165,severe,hume,-37.575891,144.925186
T20120000167,fatal,kingston,-37.982267,145.072021
T20120000169,severe,port phillip,-37.848931,144.956258
T20120000174,severe,casey,-37.96627,145.233919
T20120000278,severe,darebin,-37.729395,144.991546
T20120000155,severe,monash,-37.920999,145.196293
T20120000377,severe,stonnington,-37.846621,144.994185
T20120000139,severe,melbourne,-37.792579,144.971349
T20120000124,severe,moonee valley,-37.775129,144.928171
T20120000142,severe,kingston,-38.021963,145.124274
T20120000131,severe,casey,-37.974344,145.253719
T20120004791,severe,kingston,-37.923998,145.082476
T20120007314,severe,manningham,-37.793909,145.125965
T20120000133,severe,brimbank,-37.784501,144.819019
T20120000186,severe,whitehorse,-37.852324,145.148705
T20120000322,severe,maribyrnong,-37.775032,144.881098
T20120000190,severe,monash,-37.86431,145.168798
T20120000195,severe,stonnington,-37.840591,145.004698
T20120000415,severe,melbourne,-37.808158,144.968743
T20120000211,severe,stonnington,-37.878366,145.067881
T20120000214,severe,manningham,-37.767222,145.1424
T20120000216,severe,brimbank,-37.751591,144.832637
T20120000917,severe,brimbank,-37.741335,144.798216
T20120000231,severe,port phillip,-37.843835,144.957121
T20120000258,severe,yarra,-37.799444,144.988968
T20120000263,severe,yarra,-37.807523,144.991714
T20120000251,severe,knox,-37.858059,145.259756
T20120000460,severe,melbourne,-37.8177,144.967551
T20120000245,severe,yarra,-37.810093,144.99604
T20120000698,severe,yarra,-37.79353,144.985206
T20120000328,severe,moonee valley,-37.756947,144.898526
T20120000296,severe,melbourne,-37.80789,144.957949
T20120001747,severe,yarra,-37.800312,144.982821
T20120000306,severe,moreland,-37.76483,144.963446
T20120000314,severe,boroondara,-37.821391,145.058593
T20120000338,severe,melbourne,-37.824477,144.983053
T20120000650,severe,melbourne,-37.801813,144.957447
T20120000390,severe,moreland,-37.707091,144.889876
T20120001190,severe,brimbank,-37.693576,144.756499
T20120001550,severe,kingston,-38.042219,145.110662
T20120002355,severe,port phillip,-37.850715,144.978453
T20120002415,severe,yarra,-37.7919,144.983043
T20120000428,severe,melbourne,-37.800373,144.91196
T20120000461,severe,hume,-37.68493,144.894782
T20120007894,severe,casey,-38.030259,145.336467
T20120000334,severe,melbourne,-37.821633,144.930714
T20120000410,severe,casey,-38.035668,145.328194
T20120000411,severe,yarra,-37.819504,145.008292
T20120000560,severe,cardinia,-38.227423,145.640035
T20120000430,severe,moreland,-37.706253,144.916261
T20120000434,severe,cardinia,-38.07961,145.405318
T20120000925,severe,yarra,-37.819504,145.008292
T20120000944,severe,yarra,-37.819671,145.009891
T20120000457,severe,knox,-37.841268,145.265037
T20120000417,severe,yarra,-37.779077,144.978293
T20120000475,severe,moreland,-37.734638,144.968672
T20120004943,severe,cardinia,-38.237867,145.710067
T20120000527,severe,monash,-37.859769,145.150754
T20120000529,severe,monash,-37.932532,145.156219
T20120027417,severe,casey,-38.026066,145.306684
T20120000537,severe,melbourne,-37.811387,144.965331
T20120000540,severe,port phillip,-37.867972,144.98727
T20120000541,severe,moonee valley,-37.757221,144.918697
T20120000579,severe,melbourne,-37.808429,144.975837
T20120000485,severe,melbourne,-37.810133,144.949987
T20120000615,severe,knox,-37.84992,145.255558
T20120000486,severe,brimbank,-37.78629,144.827193
T20120000487,severe,melbourne,-37.799717,144.957556
T20120000493,severe,maribyrnong,-37.794143,144.899258
T20120013279,severe,cardinia,-38.271618,145.548121
T20120000506,severe,melbourne,-37.81939,144.957106
T20120001484,severe,port phillip,-37.847039,144.971682
T20120000544,severe,maribyrnong,-37.799501,144.89728
T20120000545,severe,monash,-37.93232,145.1889
T20120002646,severe,melbourne,-37.789404,144.942166
T20120002974,severe,melbourne,-37.796376,144.939968
T20120000568,severe,stonnington,-37.834441,144.99496
T20120000593,severe,moreland,-37.73605,144.94571
T20120000601,severe,kingston,-37.979152,145.06599
T20120000673,severe,maribyrnong,-37.800366,144.904842
T20120000672,severe,hume,-37.693794,144.90881
T20120000665,severe,brimbank,-37.752585,144.777699
T20120000664,severe,yarra,-37.781727,144.970146
T20120000623,severe,moonee valley,-37.744628,144.910082
T20120000646,severe,melbourne,-37.818357,144.956629
T20120000648,severe,brimbank,-37.775225,144.829058
T20120000632,severe,whitehorse,-37.849965,145.106119
T20120000761,severe,cardinia,-38.079531,145.43401
T20120000768,severe,kingston,-38.000657,145.108306
T20120000779,severe,whitehorse,-37.835527,145.179761
T20120000782,severe,kingston,-37.941053,145.122167
T20120000783,severe,monash,-37.9094,145.141413
T20120000727,severe,brimbank,-37.728163,144.802444
T20120000798,severe,boroondara,-37.804988,145.061719
T20120000730,severe,hume,-37.65072,144.896331
T20120000736,severe,monash,-37.914358,145.126865
T20120000740,severe,knox,-37.900596,145.219586
T20120000742,severe,kingston,-37.99814,145.083778
T20120000822,severe,monash,-37.898652,145.120824
T20120011144,severe,kingston,-38.048101,145.117811
T20120000750,severe,casey,-38.06905,145.321662
T20120000754,severe,melbourne,-37.83731,144.91305
T20120000930,severe,darebin,-37.747173,145.021815
T20120000874,severe,stonnington,-37.8414,144.995236
T20120000799,severe,cardinia,-38.321461,145.585468
T20120000945,severe,stonnington,-37.848525,145.006451
T20120000955,severe,stonnington,-37.838252,145.014414
T20120000706,severe,stonnington,-37.84471,145.016469
T20120000819,severe,melbourne,-37.797373,144.9695
T20120000830,severe,whitehorse,-37.817572,145.183712
T20120000834,severe,monash,-37.859769,145.150754
T20120000837,severe,knox,-37.910453,145.296236
T20120001090,severe,melbourne,-37.794274,144.928704
T20120000862,severe,knox,-37.885423,145.281889
T20120000860,severe,port phillip,-37.866083,144.997157
T20120000855,severe,knox,-37.897912,145.240439
T20120000850,severe,hume,-37.666,144.94241
T20120000840,severe,monash,-37.857017,145.126757
T20120000865,severe,hume,-37.606977,144.915482
T20140016905,severe,yarra,-37.829294,145.001138
T20120000949,severe,melbourne,-37.823959,144.98392
T20120000871,severe,cardinia,-38.082678,145.400261
T20120000877,severe,stonnington,-37.844692,145.03905
T20120000885,severe,maribyrnong,-37.799547,144.862107
T20120000887,severe,port phillip,-37.83228,144.9718
T20120000888,severe,melbourne,-37.825691,144.93576
T20120004627,severe,manningham,-37.766945,145.092372
T20120001278,severe,casey,-37.99618,145.275464
T20120000894,severe,kingston,-37.942676,145.114185
T20120000899,severe,brimbank,-37.8103,144.807733
T20120000906,severe,hume,-37.599496,144.945011
T20120000919,severe,kingston,-37.989563,145.107455
T20120000920,severe,knox,-37.90683,145.237081
T20120000941,severe,casey,-38.00969,145.272664
T20120000942,severe,casey,-37.967844,145.316999
T20120000897,severe,boroondara,-37.833188,145.058889
T20120000990,severe,moreland,-37.72746,144.963678
T20120000992,severe,yarra,-37.798883,144.98356
T20120000995,severe,knox,-37.89284,145.291399
T20120001007,severe,brimbank,-37.69723,144.781215
T20120001016,severe,kingston,-37.95472,145.076484
T20120001085,severe,knox,-37.837565,145.287073
T20120003270,severe,yarra,-37.783308,144.983847
T20120000974,severe,kingston,-37.965039,145.057343
T20120000978,severe,monash,-37.900234,145.090699
T20120001066,severe,melbourne,-37.8237,144.95628
T20120001067,severe,melbourne,-37.789183,144.922958
T20120001696,severe,brimbank,-37.724214,144.845221
T20120001068,severe,monash,-37.904629,145.104745
T20120001069,severe,knox,-37.893019,145.305733
T20120001074,severe,melbourne,-37.807294,144.968846
T20120001078,severe,melbourne,-37.815766,144.973208
T20120001079,severe,monash,-37.918704,145.160454
T20120001080,severe,brimbank,-37.785636,144.838721
T20120001026,severe,brimbank,-37.77988,144.832966
T20120001089,severe,yarra,-37.804979,144.983233
T20120001033,fatal,cardinia,-38.117029,145.465515
T20120001118,severe,port phillip,-37.840623,144.955971
T20120001040,severe,moreland,-37.741207,144.965301
T20120001042,severe,casey,-37.99825,145.27491
T20120001047,severe,melbourne,-37.82468,144.988833
T20120001050,severe,hume,-37.682531,144.912319
T20120001051,severe,moonee valley,-37.728591,144.869814
T20120012669,severe,moreland,-37.735644,144.945526
T20120001054,severe,manningham,-37.769507,145.100403
T20120001055,severe,darebin,-37.748527,144.987323
T20120001057,severe,yarra,-37.798274,144.977879
T20120001059,severe,kingston,-38.006358,145.083097
T20120001061,severe,port phillip,-37.829691,144.949128
T20120001063,severe,casey,-37.987501,145.26279
T20120001187,severe,stonnington,-37.852908,144.993175
T20120001165,severe,moonee valley,-37.755198,144.908186
T20120001110,severe,port phillip,-37.853963,144.982233
T20120001145,severe,monash,-37.909506,145.085235
T20120001131,severe,hume,-37.629605,144.836363
T20120001096,severe,hume,-37.60725,144.9344
T20120002291,severe,moreland,-37.75891,144.944818
T20120001156,severe,casey,-38.056278,145.363893
T20120001152,severe,kingston,-37.95472,145.076484
T20120002776,severe,stonnington,-37.85565,145.02183
T20120001148,severe,moonee valley,-37.773681,144.936105
T20120001113,severe,maribyrnong,-37.821185,144.890372
T20120001160,severe,hume,-37.606556,144.928587
T20120001091,fatal,stonnington,-37.84875,145.00819
T20120001161,severe,whitehorse,-37.84945,145.095779
T20120001162,severe,maribyrnong,-37.799501,144.89728
T20120001104,severe,yarra,-37.798959,144.984271
T20120003893,severe,yarra,-37.82969,145.012699
T20120001209,severe,boroondara,-37.805558,145.034212
T20130001817,severe,melbourne,-37.845975,144.979095
T20120001243,severe,hume,-37.689465,144.957981
T20120001391,severe,whitehorse,-37.860435,145.156291
T20120005055,severe,monash,-37.92067,145.19518
T20120001185,severe,boroondara,-37.809812,145.056022
T20120009621,severe,casey,-38.04458,145.303541
T20120001183,severe,port phillip,-37.843835,144.957121
T20120001356,severe,casey,-38.01341,145.271842
T20120001216,severe,melbourne,-37.815944,144.961131
T20120001234,severe,casey,-38.001724,145.236789
T20120001239,severe,brimbank,-37.727635,144.789878
T20120002912,severe,melbourne,-37.824579,144.96375
T20120001245,severe,port phillip,-37.833469,144.932769
T20120001248,severe,moreland,-37.744055,144.944871
T20120001250,severe,melbourne,-37.811755,144.956446
T20120001260,severe,melbourne,-37.799808,144.946029
T20120001244,severe,melbourne,-37.823323,144.978919
T20120001479,severe,melbourne,-37.816485,144.966989
T20120001306,severe,maribyrnong,-37.81807,144.896524
T20120001283,severe,manningham,-37.736722,145.248909
T20120001296,severe,brimbank,-37.74609,144.83918
T20120001298,severe,casey,-38.198231,145.313071
T20120001300,fatal,monash,-37.86194,145.125864
T20120001301,severe,moreland,-37.696281,144.92116
T20120001302,severe,brimbank,-37.790527,144.817808
T20120011819,severe,yarra,-37.819189,145.005205
T20120001307,severe,maribyrnong,-37.794973,144.90431
T20120001311,severe,kingston,-37.957931,145.052278
T20120014151,severe,casey,-38.09921,145.292572
T20120001318,severe,hume,-37.681885,144.910335
T20120001326,severe,brimbank,-37.76693,144.757769
T20120024665,severe,darebin,-37.758786,144.993133
T20120001372,severe,monash,-37.918073,145.155429
T20120001366,severe,maribyrnong,-37.804711,144.902839
T20120001357,severe,melbourne,-37.825553,144.93778
T20120004220,severe,monash,-37.898855,145.091077
T20120003046,severe,darebin,-37.781032,144.99669
T20120001422,severe,melbourne,-37.819613,144.960017
T20120001421,severe,melbourne,-37.806657,144.962897
T20120001419,severe,moreland,-37.76192,144.944288
T20120002573,severe,melbourne,-37.819939,144.971809
T20120001463,severe,moreland,-37.760843,144.963193
T20120001411,severe,moonee valley,-37.745328,144.910875
T20120001410,severe,melbourne,-37.795633,144.970825
T20120001481,severe,casey,-38.113295,145.284901
T20120001400,severe,darebin,-37.772603,145.027422
T20120001399,severe,hume,-37.692411,144.9461
T20120001395,severe,boroondara,-37.833263,145.073138
T20120001392,severe,whitehorse,-37.849426,145.109012
T20120001859,severe,melbourne,-37.818319,144.959422
T20120001390,severe,moreland,-37.75667,144.974868
T20120001773,severe,port phillip,-37.85025,144.980887
T20120001500,severe,boroondara,-37.831343,145.056696
T20120001702,severe,darebin,-37.749398,144.995874
T20120001435,severe,boroondara,-37.80904,145.049541
T20120001437,fatal,maribyrnong,-37.775,144.885728
T20120001448,severe,kingston,-37.957161,145.04941
T20120001452,severe,melbourne,-37.810686,144.972734
T20120001456,severe,brimbank,-37.800604,144.797489
T20120007411,severe,stonnington,-37.846171,144.988769
T20120001469,severe,darebin,-37.759086,144.996376
T20120001470,severe,melbourne,-37.817453,144.967438
T20120001477,severe,brimbank,-37.778469,144.84061
T20120001478,severe,maribyrnong,-37.795762,144.862671
T20120001488,severe,hume,-37.6012,144.882538
T20120001489,severe,port phillip,-37.859174,145.001334
T20120001503,severe,yarra,-37.833375,144.994582
T20120001504,severe,port phillip,-37.834957,144.949363
T20120001514,severe,moreland,-37.743134,144.948315
T20120001553,severe,port phillip,-37.841978,144.939216
T20120001538,severe,stonnington,-37.85471,145.021807
T20120001671,severe,port phillip,-37.853102,144.979289
T20120001630,severe,kingston,-38.004859,145.141916
T20120001578,severe,melbourne,-37.803713,144.932217
T20120008665,severe,casey,-38.00517,145.25728
T20120001783,severe,yarra,-37.80557,144.983131
T20120001644,severe,casey,-38.217078,145.391441
T20120001571,severe,moreland,-37.704576,144.915748
T20120001523,severe,port phillip,-37.839253,144.943504
T20120001515,severe,casey,-37.978208,145.274928
T20120001603,severe,cardinia,-37.91234,145.573991
T20120001591,severe,yarra,-37.782251,144.984751
T20120001668,severe,casey,-37.997215,145.27529
T20120001719,severe,kingston,-37.990101,145.062339
T20120001587,severe,brimbank,-37.768574,144.768094
T20120001584,severe,monash,-37.906253,145.184944
T20120001576,severe,boroondara,-37.842421,145.069349
T20120001611,severe,kingston,-38.027983,145.1312
T20120002662,severe,port phillip,-37.838978,144.947486
T20120003210,severe,darebin,-37.773526,145.011251
T20120001614,severe,stonnington,-37.853224,145.04214
T20120001617,severe,kingston,-38.07188,145.150654
T20120001632,severe,hume,-37.685347,144.920441
T20120001712,severe,maribyrnong,-37.783793,144.890917
T20120001716,severe,boroondara,-37.791867,145.093589
T20120001786,severe,melbourne,-37.81699,144.98839
T20120001647,severe,cardinia,-38.091589,145.471065
T20120001962,severe,moreland,-37.718589,144.956631
T20120001884,severe,moreland,-37.75499,144.964207
T20120001661,severe,casey,-38.176717,145.286679
T20120001663,severe,melbourne,-37.817009,144.967233
T20120001665,severe,kingston,-38.005848,145.082528
T20120001740,severe,brimbank,-37.749911,144.831707
T20120001797,severe,casey,-38.06389,145.299401
T20120001744,severe,casey,-38.043902,145.340919
T20120001673,severe,knox,-37.928002,145.232936
T20120001677,fatal,cardinia,-38.196271,145.477018
T20120001686,severe,moreland,-37.707542,144.92161
T20120001795,severe,maribyrnong,-37.803979,144.882798
T20120001693,severe,monash,-37.890504,145.144942
T20120001709,severe,boroondara,-37.788968,145.073846
T20120002191,severe,moreland,-37.743996,144.955985
T20120001778,severe,whitehorse,-37.836194,145.185201
T20120001780,severe,moreland,-37.768121,144.948876
T20120001746,severe,maribyrnong,-37.803922,144.89695
T20120001750,severe,moonee valley,-37.730753,144.876559
T20120001759,severe,melbourne,-37.833185,144.912548
T20120002337,severe,melbourne,-37.814511,144.966087
T20120001793,severe,moreland,-37.72849,144.963711
T20120001760,severe,manningham,-37.802191,145.197359
T20120002432,severe,port phillip,-37.868847,144.994111
T20120001763,severe,melbourne,-37.815265,144.967316
T20120001802,severe,brimbank,-37.784864,144.832068
T20120001733,severe,cardinia,-38.04711,145.451391
T20120001809,severe,casey,-38.029913,145.279709
T20120001818,severe,moreland,-37.768856,144.961816
T20120001821,severe,moonee valley,-37.72983,144.890071
T20120001825,severe,darebin,-37.773876,145.014371
T20120001826,severe,kingston,-37.959784,145.130645
T20120001827,severe,hume,-37.669622,144.853981
T20120003097,severe,stonnington,-37.854457,145.012649
T20120001830,fatal,whitehorse,-37.834363,145.203441
T20120001840,severe,melbourne,-37.78942,144.942459
T20120001734,severe,brimbank,-37.77733,144.830692
T20120003332,severe,boroondara,-37.806855,145.030637
T20120001855,severe,knox,-37.899112,145.232811
T20120001735,severe,casey,-38.025916,145.324746
T20120001743,severe,port phillip,-37.83105,144.95687
T20120001906,severe,stonnington,-37.879803,145.073403
T20120001891,severe,maribyrnong,-37.801953,144.897785
T20120002326,severe,boroondara,-37.845309,145.04699
T20120001833,severe,port phillip,-37.835973,144.948897
T20120001865,severe,brimbank,-37.78594,144.841335
T20120001870,severe,melbourne,-37.836218,144.975538
T20120001925,severe,port phillip,-37.870679,144.980902
T20120001853,severe,port phillip,-37.878967,144.983226
T20120001934,severe,moreland,-37.733991,144.965343
T20120001851,severe,whitehorse,-37.845838,145.133483
T20120001873,severe,maribyrnong,-37.805829,144.88481
T20120002042,severe,yarra,-37.8114,144.995815
T20120003619,severe,port phillip,-37.834113,144.961083
T20120001879,severe,manningham,-37.787009,145.143735
T20120001989,severe,melbourne,-37.821101,144.969346
T20120001985,severe,yarra,-37.80583,144.985324
T20120003938,severe,stonnington,-37.878211,145.0666
T20120001980,severe,kingston,-38.005689,145.082351
T20120001975,severe,darebin,-37.74162,145.014497
T20120001967,fatal,yarra,-37.79971,144.993008
T20120001942,severe,cardinia,-38.12466,145.49076
T20120001944,severe,melbourne,-37.82385,144.95635
T20120001951,severe,hume,-37.675701,144.86162
T20120001952,severe,knox,-37.84803,145.22875
T20120001954,severe,cardinia,-37.92929,145.444914
T20120002038,severe,melbourne,-37.810793,144.967371
T20120002037,severe,darebin,-37.74195,145.003395
T20120002015,severe,hume,-37.666,144.94241
T20120006474,severe,moreland,-37.748679,144.945936
T20120002002,severe,knox,-37.92536,145.2121
T20120001996,severe,moreland,-37.76121,144.96313
T20120002120,severe,port phillip,-37.86708,144.980555
T20120005022,severe,melbourne,-37.80471,144.945144
T20120001994,severe,whitehorse,-37.825923,145.137151
T20120002056,severe,casey,-38.04324,145.345578
T20120002050,severe,darebin,-37.749105,145.012852
T20120002146,severe,stonnington,-37.875427,145.091601
T20120002134,severe,moreland,-37.70674,144.916248
T20120002605,severe,stonnington,-37.85589,144.987551
T20120002983,severe,casey,-38.024517,145.310443
T20120002018,severe,monash,-37.923866,145.119978
T20120002524,severe,casey,-38.033729,145.326391
T20120002116,severe,melbourne,-37.811104,144.970108
T20120002012,severe,moonee valley,-37.771274,144.863389
T20120002096,severe,manningham,-37.777692,145.124327
T20120002003,severe,moonee valley,-37.782774,144.934316
T20120002084,severe,brimbank,-37.793168,144.788682
T20120002083,severe,casey,-38.0284,145.268793
T20120002079,severe,casey,-38.07629,145.335263
T20120002076,severe,casey,-38.036739,145.247792
T20120002073,severe,melbourne,-37.818269,144.967813
T20120002067,severe,whitehorse,-37.851369,145.141188
T20120002114,severe,melbourne,-37.817092,144.95324
T20120002115,severe,brimbank,-37.741957,144.779362
T20120002117,severe,port phillip,-37.86192,144.99152
T20120002121,severe,stonnington,-37.853091,145.002439
T20120002142,severe,kingston,-38.052161,145.116365
T20120002145,severe,melbourne,-37.825311,144.959867
T20120002097,severe,monash,-37.919527,145.165381
T20120002550,severe,cardinia,-38.04196,145.589723
T20120002094,severe,brimbank,-37.747604,144.815129
T20120002095,severe,maribyrnong,-37.8153,144.894583
T20120002161,severe,melbourne,-37.83908,144.976581
T20120002163,severe,yarra,-37.831123,144.996955
T20120002176,severe,moonee valley,-37.744422,144.909988
T20120002181,severe,kingston,-37.95725,145.05179
T20120002197,severe,darebin,-37.712202,144.99926
T20120002199,severe,whitehorse,-37.85336,145.169546
T20120002200,severe,stonnington,-37.853815,144.993001
T20120002211,severe,boroondara,-37.806428,145.077075
T20120004215,severe,brimbank,-37.737979,144.851197
T20120002627,severe,port phillip,-37.847445,144.953452
T20120002215,severe,manningham,-37.781289,145.111079
T20120002216,severe,hume,-37.600169,144.944393
T20120002217,severe,hume,-37.597518,144.759215
T20120002221,severe,melbourne,-37.80764,144.955587
T20120002224,severe,hume,-37.5986,144.9381
T20120002227,severe,port phillip,-37.84126,144.974988
T20120002228,severe,yarra,-37.826238,145.00294
T20120002232,severe,melbourne,-37.799383,144.954696
T20120002425,severe,knox,-37.876389,145.257657
T20120002275,severe,brimbank,-37.786643,144.793601
T20120002848,severe,kingston,-37.939101,145.079582
T20120006128,severe,hume,-37.693533,144.925406
T20120003205,severe,stonnington,-37.852708,145.051091
T20120003386,severe,moreland,-37.74643,144.977383
T20120002256,severe,casey,-38.0284,145.268793
T20120002262,severe,maribyrnong,-37.779456,144.874156
T20120002267,severe,darebin,-37.758786,144.993133
T20120002268,severe,casey,-37.972334,145.235999
T20120002271,severe,monash,-37.8736,145.148157
T20120002242,severe,monash,-37.898457,145.087711
T20120002279,severe,port phillip,-37.833174,144.968683
T20120002283,severe,boroondara,-37.835304,145.055954
T20120002287,severe,brimbank,-37.782994,144.772882
T20120002537,severe,melbourne,-37.81684,144.98978
T20120002812,severe,maribyrnong,-37.805137,144.904243
T20120002294,severe,moonee valley,-37.773266,144.933871
T20120002295,severe,yarra,-37.785029,144.976095
T20120003705,severe,darebin,-37.756024,145.026681
T20120003529,severe,moreland,-37.709709,144.890574
T20130009163,severe,cardinia,-37.933279,145.4403
T20120002301,severe,moonee valley,-37.737726,144.893372
T20120002344,severe,darebin,-37.74699,145.02028
T20120002342,severe,brimbank,-37.744446,144.801711
T20120002331,severe,moreland,-37.741729,144.97095
T20120002312,severe,hume,-37.68785,144.95805
T20120002382,severe,knox,-37.852578,145.302772
T20120002323,severe,port phillip,-37.846018,144.978902
T20120014807,severe,port phillip,-37.851869,144.967774
T20120014987,severe,monash,-37.866912,145.102667
T20120002461,severe,moreland,-37.777821,144.96666
T20120002394,severe,kingston,-37.94935,145.077567
T20120002391,severe,melbourne,-37.789879,144.958758
T20120002387,severe,yarra,-37.79843,144.987487
T20120002380,severe,darebin,-37.708935,145.05052
T20120002377,severe,yarra,-37.806766,144.973385
T20120002372,severe,monash,-37.901789,145.09204
T20120002371,severe,brimbank,-37.748819,144.835309
T20120004867,severe,hume,-37.688086,144.882276
T20120002366,severe,manningham,-37.748192,145.235417
T20120002363,severe,kingston,-37.958771,145.101236
T20120002354,severe,port phillip,-37.829544,144.963777
T20120002882,severe,brimbank,-37.739311,144.82165
T20120006819,severe,moreland,-37.738181,144.937272
T20120002439,severe,melbourne,-37.804395,144.961782
T20120002444,severe,casey,-38.159508,145.2525
T20120002443,severe,port phillip,-37.838533,144.954707
T20120002659,severe,boroondara,-37.83543,145.093419
T20120004331,severe,boroondara,-37.815068,145.0276
T20120004683,severe,brimbank,-37.815284,144.809044
T20120005735,severe,port phillip,-37.871374,144.991634
T20120002417,severe,darebin,-37.770404,145.007916
T20120002429,severe,moonee valley,-37.727626,144.89043
T20120002447,severe,yarra,-37.799759,144.997069
T20120002450,severe,moreland,-37.715259,144.948656
T20120002462,severe,moreland,-37.766081,144.962288
T20120002464,severe,melbourne,-37.825976,144.96007
T20120002473,severe,darebin,-37.73711,145.004148
T20120002474,severe,casey,-38.169224,145.372429
T20120002478,severe,brimbank,-37.81594,144.816982
T20120002480,severe,boroondara,-37.803029,145.008937
T20120002482,severe,melbourne,-37.814352,144.962801
T20120002517,severe,brimbank,-37.782885,144.803401
T20120002498,severe,hume,-37.663675,144.961071
T20120002591,severe,casey,-38.106589,145.291152
T20120002522,severe,melbourne,-37.815493,144.96654
T20120002527,severe,hume,-37.599232,144.930003
T20120002529,severe,boroondara,-37.8257,145.044433
T20120002521,severe,melbourne,-37.845041,144.98014
T20120003471,severe,darebin,-37.758622,144.99173
T20120002499,severe,moonee valley,-37.76473,144.92765
T20120002886,severe,monash,-37.900125,145.174446
T20120002569,severe,moreland,-37.70573,144.967202
T20120002508,severe,whitehorse,-37.852745,145.151921
T20120002490,severe,hume,-37.643354,144.951467
T20120002549,severe,brimbank,-37.727675,144.781915
T20120002501,severe,kingston,-37.93586,145.036725
T20120002547,severe,cardinia,-38.028339,145.493817
T20120002509,severe,melbourne,-37.814408,144.970236
T20120002515,severe,boroondara,-37.779753,145.09066
T20120002530,severe,hume,-37.684361,144.928768
T20120002809,severe,stonnington,-37.84192,144.995132
T20120002835,severe,melbourne,-37.815493,144.96654
T20120002854,severe,monash,-37.888768,145.114001
T20120003242,severe,whitehorse,-37.816621,145.20776
T20120003521,severe,melbourne,-37.795982,144.958199
T20120002575,severe,yarra,-37.784917,144.975069
T20120002576,severe,kingston,-38.008428,145.087891
T20120002577,severe,hume,-37.675501,144.85095
T20120002579,severe,moreland,-37.733991,144.965343
T20120002595,severe,boroondara,-37.813067,145.022981
T20120002598,severe,casey,-38.052218,145.254372
T20120002601,severe,melbourne,-37.775968,144.943032
T20120002602,severe,port phillip,-37.848429,144.949935
T20120002606,severe,brimbank,-37.777794,144.834569
T20120002624,severe,melbourne,-37.797642,144.97198
T20120002631,fatal,port phillip,-37.880148,144.994685
T20120002638,severe,melbourne,-37.79482,144.970966
T20120002649,severe,moreland,-37.74561,144.977509
T20120002667,severe,port phillip,-37.845301,144.955499
T20120008483,severe,boroondara,-37.829017,145.099438
T20120002670,severe,boroondara,-37.833336,145.033386
T20120002668,severe,casey,-38.060416,145.300094
T20120002661,severe,brimbank,-37.78594,144.841335
T20120002660,severe,brimbank,-37.764784,144.831141
T20120002651,severe,casey,-38.022721,145.301809
T20120002720,severe,casey,-38.077695,145.239726
T20120002698,severe,casey,-38.02886,145.293075
T20120026818,severe,monash,-37.903541,145.161404
T20130003141,severe,moreland,-37.69516,144.915215
T20120002680,severe,hume,-37.68521,144.882771
T20150003079,severe,brimbank,-37.756992,144.759613
T20120002678,severe,hume,-37.67774,144.922389
T20120002677,severe,cardinia,-37.959719,145.547488
T20120002738,severe,melbourne,-37.837649,144.9812
T20120002799,severe,cardinia,-38.075681,145.71471
T20120002811,severe,kingston,-38.039518,145.109065
T20120002813,severe,yarra,-37.805435,144.996709
T20120002732,severe,monash,-37.921873,145.186293
T20120002717,severe,stonnington,-37.854725,144.988064
T20120002920,severe,boroondara,-37.814871,145.098206
T20120002979,severe,casey,-38.11196,145.274742
T20120002746,severe,monash,-37.902853,145.156069
T20120002748,severe,casey,-38.002952,145.247092
T20120002763,severe,monash,-37.867929,145.111703
T20120004547,severe,whitehorse,-37.824408,145.194334
T20120002778,severe,darebin,-37.774382,145.018898
T20120002829,severe,casey,-38.116251,145.285528
T20120002838,severe,moonee valley,-37.779949,144.92266
T20120002847,severe,cardinia,-38.02851,145.626994
T20120004701,severe,kingston,-37.973309,145.119814
T20120002824,severe,melbourne,-37.83052,144.965232
T20120002855,severe,darebin,-37.747089,144.996587
T20120002856,severe,melbourne,-37.799652,144.955034
T20120002865,severe,port phillip,-37.873855,144.990863
T20120002810,severe,hume,-37.643354,144.951467
T20120002815,severe,kingston,-37.968946,145.084527
T20120002868,severe,melbourne,-37.804728,144.964734
T20120002874,severe,melbourne,-37.810079,144.98054
T20120002877,severe,stonnington,-37.87184,145.048969
T20120002880,severe,kingston,-38.009561,145.12281
T20120003192,severe,boroondara,-37.821152,145.026468
T20120003550,severe,brimbank,-37.794702,144.818713
T20120002914,severe,knox,-37.92581,145.21548
