ACCIDENT_NO,SEVERITY,LGA_NAME,LATITUDE,LONGITUDE
T20140014740,severe,whitehorse,-37.86324,145.189439
T20140012359,severe,moreland,-37.745005,144.965948
T20140012322,severe,maribyrnong,-37.802354,144.884651
T20140012326,severe,brimbank,-37.78989,144.76503
T20140012638,severe,moreland,-37.733711,144.962336
T20140013732,severe,maribyrnong,-37.787338,144.883331
T20140012400,severe,whitehorse,-37.862016,145.169227
T20140012399,severe,melbourne,-37.828708,144.971119
T20140012398,severe,whitehorse,-37.812605,145.12497
T20140012373,severe,casey,-38.034001,145.271716
T20140012414,severe,boroondara,-37.822819,145.058325
T20140012415,severe,kingston,-38.028739,145.13016
T20140012428,severe,kingston,-37.97078,145.09952
T20140012435,severe,moreland,-37.774561,144.939389
T20140012436,severe,hume,-37.681715,144.90919
T20140012439,severe,darebin,-37.735812,145.02577
T20140012440,severe,melbourne,-37.82128,144.961399
T20140012443,severe,melbourne,-37.819613,144.960017
T20140014721,severe,monash,-37.859047,145.094661
T20140014002,severe,hume,-37.692301,144.9475
T20140012483,severe,brimbank,-37.708684,144.886991
T20140012620,severe,casey,-38.01805,145.270863
T20140012422,severe,hume,-37.693619,144.93357
T20140014573,severe,brimbank,-37.71891,144.87151
T20140012461,severe,knox,-37.926651,145.24651
T20140012463,severe,moonee valley,-37.72386,144.891488
T20140012453,severe,maribyrnong,-37.813349,144.861487
T20140012549,severe,melbourne,-37.8095,144.960982
T20140012469,severe,hume,-37.642185,144.941119
T20140012506,severe,hume,-37.630568,144.928267
T20140013095,severe,maribyrnong,-37.792386,144.893476
T20140012451,severe,moreland,-37.768136,144.972308
T20140012472,severe,manningham,-37.766363,145.193468
T20140012474,severe,melbourne,-37.825976,144.96007
T20140012476,severe,manningham,-37.783263,145.124218
T20140012487,severe,kingston,-37.925409,145.09373
T20140012491,severe,monash,-37.885189,145.09801
T20140012492,severe,maribyrnong,-37.807116,144.903331
T20140012495,severe,cardinia,-38.051526,145.373351
T20140012498,severe,boroondara,-37.84173,145.045636
T20140012508,severe,brimbank,-37.81462,144.847097
T20140012536,severe,melbourne,-37.811755,144.956446
T20140012556,severe,casey,-38.059612,145.33594
T20140012518,severe,knox,-37.88198,145.24212
T20140012523,severe,brimbank,-37.795916,144.830294
T20140012560,severe,monash,-37.885072,145.097279
T20140012596,severe,boroondara,-37.842766,145.045461
T20140012559,severe,melbourne,-37.827942,144.957743
T20140012530,severe,cardinia,-37.986547,145.401918
T20140012532,severe,melbourne,-37.79156,144.939579
T20140012555,severe,yarra,-37.777899,144.988499
T20140012526,severe,moreland,-37.755387,144.96367
T20140012614,severe,casey,-38.007547,145.256039
T20140012609,severe,stonnington,-37.84232,144.995051
T20140012672,severe,port phillip,-37.833458,144.968062
T20140012668,severe,whitehorse,-37.816744,145.190599
T20140012624,severe,moreland,-37.779011,144.97767
T20140012543,severe,monash,-37.905087,145.175941
T20140012566,severe,casey,-38.035604,145.354571
T20140012527,severe,casey,-38.020771,145.308012
T20140012565,severe,stonnington,-37.853321,144.993096
T20140012529,severe,melbourne,-37.787829,144.940507
T20140012563,severe,hume,-37.663223,144.954609
T20140012634,severe,stonnington,-37.853224,145.04214
T20140015720,severe,boroondara,-37.787506,145.065037
T20140012611,severe,yarra,-37.785666,144.981811
T20140012622,severe,moonee valley,-37.764911,144.920481
T20140012610,severe,moreland,-37.69397,144.93068
T20140012702,severe,brimbank,-37.725739,144.862549
T20140012598,severe,casey,-38.131129,145.248705
T20140012586,severe,moreland,-37.701929,144.967774
T20140012584,severe,moonee valley,-37.75861,144.926372
T20140012582,severe,moreland,-37.755456,144.964118
T20140013953,severe,whitehorse,-37.828851,145.1228
T20140014107,severe,melbourne,-37.812823,144.942955
